"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","upon","new","govern","great","life","will","can","shall","time","world","law","countri","peopl","public","nation"
"2","congress","america","state","countri","men","everi","must","duti","year","freedom","right","much","spirit","govern","peac"
"3","parti","american","power","increas","chang","good","one","may","day","know","citizen","interest","upon","may","war"
"4","made","let","constitut","product","great","now","peopl","offic","histori","free","equal","institut","liberti","revenu","polici"
"5","constitut","work","union","industri","nation","need","make","support","first","human","subject","everi","happi","secur","foreign"
"6","question","togeth","unit","commerc","without","believ","other","confid","now","long","shall","experi","found","time","forc"
"7","execut","generat","author","protect","purpos","never","like","faith","god","seek","enforc","mani","prosper","practic","maintain"
"8","differ","live","general","territori","hand","futur","done","servic","hope","man","protect","caus","independ","demand","relat"
"9","legisl","old","right","extend","thing","nation","anoth","trust","presid","hope","rule","great","republ","economi","great"
"10","effect","promis","feder","progress","individu","effort","take","best","centuri","see","race","danger","free","busi","friend"
"11","may","world","within","trade","fear","civil","strong","countri","stand","earth","administr","patriot","bless","requir","intern"
"12","opinion","opportun","object","state","justic","understand","hold","administr","today","toward","secur","exist","civil","necessari","defens"
"13","control","land","limit","establish","polit","bring","place","respons","call","live","respect","present","true","interest","mean"
"14","principl","respons","whole","improv","way","follow","person","oblig","come","democraci","reform","reason","principl","meet","among"
"15","regard","children","form","encourag","moral","faith","knowledg","high","just","million","order","influenc","love","tax","honor"
